canonical_athlete_id,name,sex,primary_weight_class,active_year_first,active_year_last,total_matches
athlete_a-cacareco-m,A. Cacareco,M,ABS,2001,2007,13
athlete_a-hamlet-m,A. Hamlet,M,66KG,2000,2000,1
athlete_a-zhanpeisov-m,A. Zhanpeisov,M,+99KG,2017,2017,2
athlete_aaron-johnson-m,Aaron Johnson,M,ABS,2019,2019,3
athlete_abdulaev-ruslan-m,Abdulaev Ruslan,M,+99KG,2017,2017,1
athlete_abdulkadirov-magomed-m,Abdulkadirov Magomed,M,77KG,2015,2015,2
athlete_abdurakhman-bilarov-m,Abdurakhman Bilarov,M,99KG,2017,2017,2
athlete_abraham-marte-messina-m,Abraham Marte Messina,M,+99KG,2015,2015,2
athlete_adam-sachnoff-m,Adam Sachnoff,M,99KG,2015,2015,1
athlete_adam-wardzinski-m,Adam Wardzinski,M,88KG,2019,2019,2
athlete_adele-fornarino-f,Adele Fornarino,F,60KG,2022,2022,1
athlete_adrian-serrano-m,Adrian Serrano,M,88KG,1998,1998,1
athlete_ahmad-faraj-m,Ahmad Faraj,M,88KG,1998,1998,1
athlete_aj-agazarm-m,AJ Agazarm,M,66KG,2013,2022,9
athlete_akihiro-gono-m,Akihiro Gono,M,88KG,1999,2001,2
athlete_akira-shoji-m,Akira Shoji,M,88KG,2003,2003,1
athlete_akira-shouji-m,Akira Shouji,M,88KG,1999,1999,1
athlete_akira-soji-m,Akira Soji,M,ABS,2003,2003,1
athlete_alec-baulding-m,Alec Baulding,M,88KG,2019,2019,1
athlete_alex-negao-m,Alex Negao,M,+99KG,2003,2003,1
athlete_alexander-savko-m,Alexander Savko,M,88KG,2001,2001,1
athlete_alexander-trans-m,Alexander Trans,M,+99KG,2011,2011,1
athlete_alexandre-de-freitas-m,Alexandre de Freitas,M,66KG,1998,2003,19
athlete_alexandre-jesus-m,Alexandre Jesus,M,88KG,2022,2022,1
athlete_alexandre-ribeiro-m,Alexandre Ribeiro,M,99KG,2003,2022,43
athlete_alexandre-vieira-m,Alexandre Vieira,M,66KG,2015,2015,1
athlete_alian-drueco-m,Alian Drueco,M,99KG,2013,2013,1
athlete_alison-tremblay-f,Alison Tremblay,F,+60KG,2015,2015,1
athlete_allan-teo-m,Allan Teo,M,66KG,2003,2003,1
athlete_amanda-alequin-santana-f,Amanda Alequin / Santana,F,+60KG,2017,2017,1
athlete_amanda-leve-f,Amanda Leve,F,+60KG,2019,2019,1
athlete_amanda-santana-f,Amanda Santana,F,+60KG,2015,2015,1
athlete_amaury-bitetti-m,Amaury Bitetti,M,88KG,1999,1999,2
athlete_amir-allam-m,Amir Allam,M,+99KG,2013,2013,1
athlete_amy-campo-f,Amy Campo,F,+60KG,2022,2022,3
athlete_ana-carolina-f,Ana Carolina,F,+60KG,2019,2019,1
athlete_ana-carolina-vieira-f,Ana Carolina Vieira,F,+60KG,2019,2019,1
athlete_andre-galvao-m,Andre Galvao,M,ABS,2007,2022,27
athlete_andreas-olsen-m,Andreas Olsen,M,99KG,2009,2009,1
athlete_andy-reese-m,Andy Reese,M,88KG,2003,2003,1
athlete_andy-varela-m,Andy Varela,M,77KG,2022,2022,2
athlete_andy-wang-m,Andy Wang,M,77KG,2013,2013,1
athlete_anthony-perosh-m,Anthony Perosh,M,99KG,2009,2009,1
athlete_antoine-joude-m,Antoine Joude,M,99KG,2005,2005,2
athlete_antonio-braga-neto-m,Antonio Braga Neto,M,99KG,2011,2019,4
athlete_antonio-peinado-m,Antonio Peinado,M,99KG,2011,2011,2
athlete_antonio-schembri-m,Antonio Schembri,M,88KG,2001,2001,4
athlete_asa-fuller-m,Asa Fuller,M,+99KG,2009,2009,1
athlete_asadulaev-surkhay-m,Asadulaev Surkhay,M,66KG,2015,2015,1
athlete_ashley-williams-m,Ashley Williams,M,66KG,2022,2022,1
athlete_augusto-ferrari-m,Augusto Ferrari,M,99KG,2011,2011,1
athlete_augusto-mendes-m,Augusto Mendes,M,66KG,2011,2019,13
athlete_baret-yoshida-m,Baret Yoshida,M,66KG,1999,2017,22
athlete_beatriz-mesquita-f,Beatriz Mesquita,F,60KG,2019,2022,4
athlete_ben-askren-m,Ben Askren,M,77KG,2009,2009,1
athlete_ben-dyson-m,Ben Dyson,M,88KG,2019,2019,1
athlete_ben-henderson-m,Ben Henderson,M,77KG,2013,2015,2
athlete_ben-hodgkinson-m,Ben Hodgkinson,M,99KG,2019,2019,1
athlete_bia-mesquita-f,Bia Mesquita,F,60KG,2015,2015,1
athlete_bianca-basilio-f,Bianca Basilio,F,60KG,2017,2022,9
athlete_bianca-mesquita-f,Bianca Mesquita,F,60KG,2017,2017,1
athlete_bob-schirmer-m,Bob Schirmer,M,77KG,2000,2000,1
athlete_braulio-estima-m,Braulio Estima,M,ABS,2005,2013,16
athlete_brianna-stemarie-f,Brianna Ste-Marie,F,60KG,2022,2022,3
athlete_bruno-bastos-m,Bruno Bastos,M,ABS,2009,2017,4
athlete_bruno-chavez-m,Bruno Chavez,M,66KG,2007,2007,1
athlete_bruno-frazatto-m,Bruno Frazatto,M,66KG,2011,2019,7
athlete_c-jones-m,C. Jones,M,88KG,2015,2015,1
athlete_cameron-earle-m,Cameron Earle,M,77KG,2005,2005,1
athlete_caol-uno-m,Caol Uno,M,77KG,1999,2000,2
athlete_carina-santi-f,Carina Santi,F,+60KG,2019,2019,1
athlete_carlos-barreto-m,Carlos Barreto,M,+99KG,2000,2000,1
athlete_carlos-machado-m,Carlos Machado,M,77KG,2000,2000,1
athlete_carlos-newton-m,Carlos Newton,M,88KG,1998,1998,1
athlete_cassio-francis-m,Cassio Francis,M,99KG,2015,2015,2
athlete_celso-vinicius-m,Celso Vinicius,M,77KG,2017,2019,5
athlete_chael-sonnen-m,Chael Sonnen,M,ABS,2017,2017,2
athlete_charles-pearson-m,Charles Pearson,M,66KG,2003,2003,1
athlete_chris-brennan-m,Chris Brennan,M,77KG,2005,2005,1
athlete_chris-bright-m,Chris Bright,M,77KG,2007,2007,1
athlete_chris-brown-m,Chris Brown,M,77KG,2001,2003,2
athlete_chris-weidman-m,Chris Weidman,M,88KG,2009,2009,1
athlete_chris-wideman-m,Chris Wideman,M,ABS,2009,2009,1
athlete_christian-moriarty-m,Christian Moriarty,M,88KG,2007,2007,1
athlete_clark-gracie-m,Clark Gracie,M,77KG,2011,2013,2
athlete_claudio-calasans-m,Claudio Calasans,M,ABS,2011,2017,12
athlete_cole-abate-m,Cole Abate,M,66KG,2022,2022,1
athlete_craig-jones-m,Craig Jones,M,88KG,2017,2022,14
athlete_cristiano-lazzarini-m,Cristiano Lazzarini,M,99KG,2007,2013,3
athlete_d-hemmings-m,D. Hemmings,M,66KG,2013,2013,1
athlete_d-marinakis-m,D. Marinakis,M,66KG,2009,2009,1
athlete_damon-ramos-m,Damon Ramos,M,+99KG,2022,2022,1
athlete_dan-manasoiu-m,Dan Manasoiu,M,+99KG,2022,2022,1
athlete_dan-martinez-m,Dan Martinez,M,99KG,2019,2019,1
athlete_dan-schon-m,Dan Schon,M,88KG,2011,2011,1
athlete_daniel-hortegas-m,Daniel Hortegas,M,66KG,2015,2015,1
athlete_daniel-simoes-m,Daniel Simoes,M,+99KG,2005,2005,2
athlete_daniel-strauss-m,Daniel Strauss,M,77KG,2011,2011,1
athlete_dante-leon-m,Dante Leon,M,77KG,2019,2022,8
athlete_darrel-moodley-m,Darrel Moodley,M,66KG,2007,2007,1
athlete_darren-andy-m,Darren Andy,M,+99KG,2007,2007,2
athlete_dave-menne-m,Dave Menne,M,88KG,2000,2000,1
athlete_davi-ramos-m,Davi Ramos,M,77KG,2015,2015,4
athlete_david-avellan-m,David Avellan,M,88KG,2005,2013,11
athlete_david-bielkheden-m,David Bielkheden,M,88KG,2005,2005,1
athlete_david-marinakis-m,David Marinakis,M,66KG,2011,2011,1
athlete_david-terrell-m,David Terrell,M,88KG,2003,2003,4
athlete_davion-peterson-m,Davion Peterson,M,88KG,2003,2003,1
athlete_davis-heart-m,Davis Heart,M,77KG,2011,2011,1
athlete_dealonzio-jackson-m,DeAlonzio Jackson,M,77KG,2013,2019,5
athlete_dean-lister-m,Dean Lister,M,99KG,2001,2015,28
athlete_demian-maia-m,Demian Maia,M,88KG,2005,2007,8
athlete_denis-roberts-m,Denis Roberts,M,+99KG,2005,2009,2
athlete_dennis-hallman-m,Dennis Hallman,M,88KG,2000,2005,3
athlete_devhonte-johnson-m,Devhonte Johnson,M,99KG,2022,2022,1
athlete_diego-oliveira-m,Diego Oliveira,M,66KG,2022,2022,4
athlete_diego-sanchez-m,Diego Sanchez,M,77KG,2005,2005,2
athlete_dillon-danis-m,Dillon Danis,M,ABS,2015,2017,4
athlete_diogo-reis-m,Diogo Reis,M,66KG,2022,2022,4
athlete_don-ortega-m,Don Ortega,M,77KG,2009,2011,2
athlete_doorwang-jeon-m,Doorwang Jeon,M,88KG,2013,2013,1
athlete_e-elgland-m,E. Elgland,M,66KG,2017,2017,1
athlete_e-karpinen-f,E. Karpinen,F,60KG,2017,2017,1
athlete_e-karppinen-f,E. Karppinen,F,60KG,2017,2017,1
athlete_eddie-bravo-m,Eddie Bravo,M,66KG,2003,2003,3
athlete_eddie-sanchez-m,Eddie Sanchez,M,66KG,2007,2007,1
athlete_eduardo-rios-m,Eduardo Rios,M,77KG,2013,2013,1
athlete_eduardo-telles-m,Eduardo Telles,M,99KG,2005,2005,3
athlete_edward-cummings-m,Edward Cummings,M,66KG,2015,2015,2
athlete_edwin-najmi-m,Edwin Najmi,M,77KG,2019,2019,2
athlete_egan-inoe-m,Egan Inoe,M,88KG,2000,2000,1
athlete_egan-inoue-m,Egan Inoue,M,88KG,1999,2001,4
athlete_eldar-rafigaev-m,Eldar Rafigaev,M,+99KG,2019,2019,1
athlete_elder-cruz-m,Elder Cruz,M,99KG,2022,2022,3
athlete_eleftheria-christodoulou-f,Eleftheria Christodoulou,F,+60KG,2022,2022,1
athlete_eliott-kelly-m,Eliott Kelly,M,99KG,2017,2017,2
athlete_elisabeth-clay-f,Elisabeth Clay,F,+60KG,2022,2022,1
athlete_elliot-marshal-m,Elliot Marshal,M,+99KG,2019,2019,1
athlete_elvira-karpinnen-f,Elvira Karpinnen,F,60KG,2019,2019,1
athlete_elvira-karppinen-f,Elvira Karppinen,F,60KG,2022,2022,1
athlete_elvis-sinosic-m,Elvis Sinosic,M,+99KG,2007,2007,1
athlete_enrico-cocco-m,Enrico Cocco,M,77KG,2011,2017,3
athlete_enson-inoe-m,Enson Inoe,M,ABS,1999,1999,1
athlete_eoghan-oflanagan-m,Eoghan OFlanagan,M,88KG,2022,2022,3
athlete_eoghan-oflannagan-m,Eoghan OFlannagan,M,88KG,2022,2022,1
athlete_eric-dahlberg-m,Eric Dahlberg,M,77KG,2007,2007,1
athlete_erico-cocco-m,Erico Cocco,M,77KG,2009,2009,1
athlete_erik-paulson-m,Erik Paulson,M,99KG,2003,2003,1
athlete_erza-lennon-m,Erza Lennon,M,ABS,2013,2013,1
athlete_ethan-crelinsten-m,Ethan Crelinsten,M,66KG,2017,2022,3
athlete_ezra-lenon-m,Ezra Lenon,M,99KG,2013,2013,1
athlete_f-capoane-m,F. Capoane,M,ABS,1999,1999,1
athlete_f-vasconcelos-m,F. Vasconcelos,M,77KG,2001,2001,1
athlete_fabiano-iha-m,Fabiano Iha,M,77KG,1998,1998,1
athlete_fabio-gurgel-m,Fabio Gurgel,M,ABS,2013,2013,1
athlete_fabricio-andrey-m,Fabricio Andrey,M,66KG,2022,2022,3
athlete_fabricio-werdum-m,Fabricio Werdum,M,+99KG,2003,2011,26
athlete_fan-yi-m,Fan Yi,M,88KG,1999,1999,1
athlete_felipe-cesar-m,Felipe Cesar,M,77KG,2017,2017,1
athlete_felipe-pena-m,Felipe Pena,M,99KG,2015,2022,18
athlete_fellipe-andrew-m,Fellipe Andrew,M,99KG,2019,2019,1
athlete_fernanda-mazelli-f,Fernanda Mazelli,F,+60KG,2013,2013,1
athlete_fernando-vieira-m,Fernando Vieira,M,88KG,2003,2003,1
athlete_ffion-davies-f,Ffion Davies,F,60KG,2019,2022,6
athlete_firas-nakdali-m,Firas Nakdali,M,+99KG,1998,1998,1
athlete_flavio-almeida-m,Flavio Almeida,M,88KG,2007,2007,2
athlete_frank-trigg-m,Frank Trigg,M,77KG,1998,1998,1
athlete_g-sotiropoulos-m,G. Sotiropoulos,M,77KG,2003,2003,1
athlete_gabriel-almeida-m,Gabriel Almeida,M,88KG,2019,2019,1
athlete_gabriel-arges-m,Gabriel Arges,M,88KG,2019,2019,2
athlete_gabriel-lucas-m,Gabriel Lucas,M,+99KG,2015,2015,2
athlete_gabriel-marangoni-m,Gabriel Marangoni,M,66KG,2015,2015,1
athlete_gabriel-napao-m,Gabriel Napao,M,+99KG,2005,2005,4
athlete_gabriel-rollo-m,Gabriel Rollo,M,77KG,2015,2015,2
athlete_gabriel-sousa-m,Gabriel Sousa,M,66KG,2022,2022,4
athlete_gabrielle-garcia-f,Gabrielle Garcia,F,+60KG,2011,2022,16
athlete_gamrot-mateusz-m,Gamrot Mateusz,M,77KG,2015,2015,1
athlete_gao-hua-m,Gao Hua,M,99KG,1999,1999,1
athlete_garth-taylor-m,Garth Taylor,M,ABS,1999,1999,3
athlete_gary-tonon-m,Gary Tonon,M,77KG,2013,2022,18
athlete_gavin-kulper-m,Gavin Kulper,M,77KG,2001,2001,1
athlete_genki-sudo-m,Genki Sudo,M,77KG,2001,2001,1
athlete_george-sotiropoulos-m,George Sotiropoulos,M,77KG,2007,2007,1
athlete_george-st-m,George St,M,77KG,2005,2005,1
athlete_geovanny-martinez-m,Geovanny Martinez,M,66KG,2015,2022,8
athlete_gerardi-rinaldi-m,Gerardi Rinaldi,M,+99KG,2009,2011,3
athlete_giancarlo-bodoni-m,Giancarlo Bodoni,M,88KG,2022,2022,6
athlete_gianni-grippo-m,Gianni Grippo,M,66KG,2015,2019,3
athlete_gilbert-burns-m,Gilbert Burns,M,77KG,2015,2015,4
athlete_giovanna-jara-f,Giovanna Jara,F,+60KG,2022,2022,1
athlete_glover-teixeira-m,Glover Teixeira,M,99KG,2009,2011,3
athlete_gordon-ryan-m,Gordon Ryan,M,ABS,2017,2022,21
athlete_greger-forsel-m,Greger Forsel,M,66KG,2011,2011,1
athlete_gregor-gracie-m,Gregor Gracie,M,77KG,2009,2009,3
athlete_gunnar-nelson-m,Gunnar Nelson,M,ABS,2009,2011,5
athlete_gustavo-dantas-m,Gustavo Dantas,M,66KG,2001,2003,2
athlete_h-kanehara-m,H. Kanehara,M,99KG,2000,2000,1
athlete_h-sekine-m,H. Sekine,M,+99KG,2017,2017,1
athlete_halm-gocalli-m,Halm Gocalli,M,+99KG,2005,2005,1
athlete_hanette-staack-f,Hanette Staack,F,+60KG,2011,2011,1
athlete_hannette-staack-f,Hannette Staack,F,+60KG,2011,2011,1
athlete_hayato-sakurai-m,Hayato Sakurai,M,ABS,1999,1999,3
athlete_hector-lombard-m,Hector Lombard,M,99KG,2015,2015,1
athlete_heikki-jussila-m,Heikki Jussila,M,+99KG,2022,2022,1
athlete_henrique-cardoso-m,Henrique Cardoso,M,99KG,2022,2022,1
athlete_hideki-sekine-m,Hideki Sekine,M,+99KG,2013,2015,3
athlete_hideki-shrek-m,Hideki Shrek,M,ABS,2015,2015,1
athlete_hidemi-mihara-m,Hidemi Mihara,M,88KG,2015,2015,1
athlete_hiroshi-nakamura-m,Hiroshi Nakamura,M,66KG,2009,2009,1
athlete_hiroyuko-abe-m,Hiroyuko Abe,M,66KG,2001,2001,1
athlete_hudson-taylor-m,Hudson Taylor,M,+99KG,2019,2019,1
athlete_i-praporshchikov-m,I. Praporshchikov,M,88KG,2009,2009,1
athlete_igor-praporschchikov-m,Igor Praporschchikov,M,99KG,2011,2011,1
athlete_ilir-lafiti-m,Ilir Lafiti,M,99KG,2003,2003,2
athlete_ilir-latifi-m,Ilir Latifi,M,99KG,2009,2009,1
athlete_isaak-michel-m,Isaak Michel,M,88KG,2022,2022,1
athlete_isaque-bahiense-m,Isaque Bahiense,M,88KG,2022,2022,1
athlete_israel-albuquerque-m,Israel Albuquerque,M,77KG,2000,2000,1
athlete_j-pietkainen-m,J. Pietkainen,M,+99KG,2017,2017,1
athlete_j-pietlainen-m,J. Pietlainen,M,+99KG,2007,2007,1
athlete_j-urholin-m,J. Urholin,M,88KG,2015,2015,1
athlete_j-wakabayashi-m,J. Wakabayashi,M,66KG,2000,2000,1
athlete_jackson-sousa-m,Jackson Sousa,M,99KG,2017,2019,6
athlete_jacob-rodriguez-m,Jacob Rodriguez,M,88KG,2022,2022,1
athlete_jake-shields-m,Jake Shields,M,77KG,2005,2017,5
athlete_jamal-peterson-m,Jamal Peterson,M,99KG,2005,2005,1
athlete_james-brasco-m,James Brasco,M,88KG,2009,2017,2
athlete_james-harbison-m,James Harbison,M,88KG,2011,2011,1
athlete_james-poupolo-m,James Poupolo,M,99KG,2011,2011,1
athlete_james-puopolo-m,James Puopolo,M,99KG,2013,2019,3
athlete_jamie-ballard-m,Jamie Ballard,M,66KG,2007,2007,1
athlete_janne-pietilainen-m,Janne Pietilainen,M,+99KG,2013,2013,1
athlete_jannepekka-m,Janne-Pekka,M,ABS,2009,2015,3
athlete_janus-andrejczuk-m,Janus Andrejczuk,M,66KG,2017,2017,1
athlete_jared-dopp-m,Jared Dopp,M,+99KG,2013,2019,15
athlete_jason-brudvik-m,Jason Brudvik,M,77KG,2005,2005,1
athlete_jason-lees-m,Jason Lees,M,+99KG,2015,2015,1
athlete_jason-manly-m,Jason Manly,M,77KG,2011,2011,1
athlete_jason-ramsterrer-m,Jason Ramsterrer,M,77KG,2003,2003,1
athlete_jason-white-m,Jason White,M,+99KG,2005,2005,1
athlete_jayson-patino-m,Jayson Patino,M,66KG,2009,2009,1
athlete_jean-jacques-machado-m,Jean Jacques Machado,M,77KG,1999,2005,15
athlete_jeff-curran-m,Jeff Curran,M,66KG,2009,2009,1
athlete_jeff-glover-m,Jeff Glover,M,66KG,2007,2015,11
athlete_jeff-monson-m,Jeff Monson,M,99KG,1999,2017,13
athlete_jehad-hamdan-m,Jehad Hamdan,M,+99KG,2003,2003,1
athlete_jeon-doo-m,Jeon Doo,M,88KG,2011,2011,1
athlete_jeremy-skinner-m,Jeremy Skinner,M,66KG,2022,2022,2
athlete_jerry-bolander-m,Jerry Bolander,M,88KG,1999,2000,2
athlete_jesse-urholin-m,Jesse Urholin,M,88KG,2017,2017,1
athlete_jesseray-childrey-m,Jesseray Childrey,M,+99KG,2017,2017,1
athlete_jessica-flowers-f,Jessica Flowers,F,+60KG,2017,2017,1
